name,latitude,longitude,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
千田福祉会館千田児童館,35.68101069,139.8165447,1,1,1,1,自動ドア
南陽幼稚園,35.667457,139.813749,1,1,0,1,
教育センター東陽図書館,35.66719525,139.8171332,1,1,1,1,自動ドア・ベビーベッド
東陽区民館東陽子ども家庭支援センター,35.66858387,139.8085689,1,1,0,0,自動ドア・授乳スペース・ベビーベッド・おむつ交換台
亀戸福祉会館亀戸第二児童館,35.69469235,139.8241505,1,1,1,1,自動ドア・オストメイ設備ト・授乳室・ベビーベッド
青少年交流プラザ亀戸第二保育園,35.69675148,139.8373833,1,1,1,1,
亀戸図書館亀戸第三児童館,35.69695151,139.8393311,1,1,1,1,自動ドア・授乳室・ベビーベッド・おむつ交換台
旧大島南小学校（大島仮校舎）,35.687036,139.837922,0,0,0,0,
小名木川保育園,35.684167,139.823704,1,1,1,1,
砂町文化センター砂町図書館,35.68043517,139.8319724,1,1,1,1,自動ドア・授乳室・おむつ替えベッド・オストメイト設備
東砂福祉会館東砂児童館,35.67450804,139.839719,1,0,0,0,
パークサイド亀島,35.7066629,139.8201024,1,1,0,1,
明治小学校,35.67603275,139.7982495,1,1,1,1,
深川小学校,35.68604766,139.7995009,0,0,0,0,
八名川小学校,35.68698145,139.7953773,0,0,0,0,
臨海小学校,35.67251501,139.792979,1,1,1,1,
越中島小学校,35.66602382,139.79618,0,0,0,0,
数矢小学校,35.67255418,139.7997675,0,0,0,0,
平久小学校（平久幼稚園）,35.66803876,139.8022084,1,1,1,1,
東陽小学校,35.67066182,139.8154602,1,0,0,0,
南陽小学校,35.66845503,139.8140354,1,1,1,1,
川南小学校（川南幼稚園）,35.67972484,139.8168237,1,1,1,1,
扇橋小学校,35.68124853,139.8117161,1,1,1,1,
元加賀小学校,35.68225533,139.8085803,1,1,1,1,
毛利小学校,35.691324,139.816285,0,0,0,1,
東川小学校,35.68835175,139.8123128,0,1,0,0,
豊洲小学校（豊洲幼稚園）,35.65396625,139.7988763,1,1,1,1,
豊洲西小学校,35.651236,139.794971,1,1,1,1,
豊洲北小学校,35.6586027,139.7978932,1,1,1,1,
東雲小学校,35.64255454,139.7992117,1,0,1,1,
有明小学校,35.640126,139.796147,1,1,1,1,
枝川小学校,35.65945693,139.8099871,1,1,1,1,
辰巳小学校（辰巳幼稚園）,35.64661537,139.8099677,0,0,0,1,
第二辰巳小学校,35.64830714,139.8084317,1,1,1,1,
第一亀戸小学校（第一亀戸幼稚園）,35.69867986,139.8223685,1,1,1,1,
第二亀戸小学校（第二亀戸幼稚園）,35.69546943,139.830178,1,1,1,1,
香取小学校,35.70351442,139.826389,1,1,1,1,
浅間竪川小学校,35.69873837,139.8416979,1,1,1,1,
水神小学校,35.70013186,139.8285139,0,0,1,1,
第一大島小学校,35.68972794,139.8253936,1,1,1,1,
第二大島小学校,35.68957709,139.8301342,0,0,0,0,
第三大島小学校,35.69258416,139.8452528,1,1,1,1,
第四大島小学校,35.69121902,139.8343528,0,0,0,1,
第五大島小学校,35.68835561,139.844464,1,1,1,1,
大島南央小学校,35.68726939,139.8315652,1,1,1,1,
砂町小学校,35.6776644,139.8292828,0,0,0,0,
第二砂町小学校,35.67484798,139.8388591,1,1,1,1,
第三砂町小学校,35.67268207,139.8332496,1,1,1,1,
第四砂町小学校,35.67463254,139.8215555,0,0,0,0,
第五砂町小学校,35.66749581,139.8391043,1,1,1,1,
第六砂町小学校,35.68211015,139.8385238,0,0,0,0,
第七砂町小学校,35.67889962,139.8423006,0,0,0,1,
小名木川小学校（小名木川幼稚園）,35.68237692,139.8311554,0,0,0,0,
